band_num,band_age,e00,e01,e02,e03,e04,e05,e06,e07,e08,e09,e10,e11,e12,obs,Color Band,d_banded,tars,mass,wing,sex,fm_site,species
129264336,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"a,g",6/30/09,32.89,79.1,128,F,Brown-DC,AMRO
241137379,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"a/g,R",6/29/09,22.12,41.1,90,F,Sullivan,NOCA
241137378,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"p/a,o",6/29/09,23.42,46.1,92,F,Sullivan,NOCA
241113750,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"r,a/pk",6/29/09,26.5,42.9,92,M,Drake,NOCA
241137148,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"r/y,a",6/28/09,24.63,44.3,93,M,Nichols,NOCA
244114036,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"pk/a,g",6/26/09,21.28,20.6,66,M,Hutchinson,SOSP
244114035,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"r/a,pk",6/26/09,21.28,21.3,64,M,Hutchinson,SOSP
241137292,HY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"a,pk/pk",6/26/09,23.69,43.1,87,M,Hutchinson,NOCA
241137139,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"p/a,pk",6/24/09,27.97,33.5,90,M,Gaetano,GRCA
241137134,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"a,pk/y",6/22/09,24.66,40.3,91,M,"Miller, J.",NOCA
241137132,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"r,o/a",6/22/09,25.08,41,90.5,M,"Miller, J.",NOCA
244114123,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"y,bk/a",6/20/09,21.81,20.5,66,M,Land,SOSP
241137279,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"bu/a,w",6/16/09,23.11,39.7,87,F,McCoy ,NOCA
129264311,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"a,w/g",6/16/09,32.39,68.4,120,M,Wiley,AMRO
241137119,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"w/a,bk",6/15/09,24.01,40.2,95,M,Baines,NOCA
241137277,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"a/r,pk",6/14/09,27.69,34.4,93,M,Solitro,GRCA
241137333,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"y,a/pk",6/13/09,27.38,33.2,89,M,Gorove,GRCA
241137329,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"a/pk,o",6/12/09,,36.5,92.5,M,Solloway,GRCA
241137731,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"w,a",6/11/09,28.08,37,91,M,Fuisz,GRCA
241137266,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"a,r/pk",6/11/09,27.91,34.2,87,M,Jackson,GRCA
241137265,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"p,a/pk",6/10/09,24.92,44.2,90,M,Megonigal,NOCA
241137320,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"a/w,r",6/6/09,24.63,52.3,93,F,"Galloway, T.",NOCA
241137109,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"p,w/a",6/6/09,24.22,44.3,94,M,Sanford,NOCA
241137313,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"a,r/bu",6/3/09,24.23,42.5,97,M,Taylor Elementary,NOCA
129264213,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"w,a/pk",6/3/09,32.78,80.7,127,F,Lieberman,AMRO
244115013,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"pk,y/a",6/2/09,21.29,22,64,M,Force,SOSP
259082538,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"w,bu/a",6/1/09,15.64,10.3,61,M,Coulter,CACH
259082202,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"a/pk,y",6/1/09,14.66,10.5,61,M,Lucid,CACH
241137311,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"p/pk,A",6/1/09,22.33,22.3,64,M,Mahoney,NOCA
