"site","species","count","foraging","diet"
15,"amgo",1,"foliage","granivore"
15,"amro",3,"ground","omnivore"
15,"cach",2,"foliage","insectivore"
15,"carw",2,"ground","insectivore"
15,"grca",5,"ground","omnivore"
15,"howr",1,"ground","insectivore"
15,"modo",1,"ground","granivore"
15,"noca",3,"ground","omnivore"
15,"rbwo",1,"bark","omnivore"
15,"sosp",1,"ground","omnivore"
15,"tuti",1,"foliage","insectivore"
15,"wbnu",1,"bark","insectivore"
16,"amro",2,"ground","omnivore"
16,"blja",1,"ground","omnivore"
16,"cach",1,"foliage","insectivore"
16,"carw",1,"ground","insectivore"
16,"cogr",1,"ground","omnivore"
16,"dowo",1,"bark","insectivore"
16,"eaph",1,"aerial","insectivore"
16,"modo",1,"ground","granivore"
16,"noca",2,"ground","omnivore"
16,"rbwo",1,"bark","omnivore"
16,"wbnu",1,"bark","insectivore"
17,"blja",1,"ground","omnivore"
17,"cach",2,"foliage","insectivore"
17,"carw",1,"ground","insectivore"
17,"cogr",7,"ground","omnivore"
17,"eabl",1,"aerial","insectivore"
17,"ficr",1,"ground","omnivore"
17,"hofi",3,"ground","granivore"
17,"howr",3,"ground","insectivore"
17,"noca",2,"ground","omnivore"
17,"nomo",1,"ground","omnivore"
17,"tuti",1,"foliage","insectivore"
18,"amgo",2,"foliage","granivore"
18,"amro",2,"ground","omnivore"
18,"cach",1,"foliage","insectivore"
18,"cogr",1,"ground","omnivore"
18,"grca",2,"ground","omnivore"
18,"modo",1,"ground","granivore"
18,"noca",3,"ground","omnivore"
18,"rwbl",2,"ground","omnivore"
18,"tuti",2,"foliage","insectivore"
19,"cach",1,"foliage","insectivore"
19,"noca",2,"ground","omnivore"
19,"tuti",4,"foliage","insectivore"
20,"blja",1,"ground","omnivore"
20,"carw",3,"ground","insectivore"
20,"grca",2,"ground","omnivore"
20,"noca",5,"ground","omnivore"
20,"tuti",3,"foliage","insectivore"
21,"amcr",1,"ground","omnivore"
21,"blja",4,"ground","omnivore"
21,"cach",2,"foliage","insectivore"
21,"carw",3,"ground","insectivore"
21,"grca",8,"ground","omnivore"
21,"howr",2,"ground","insectivore"
21,"noca",5,"ground","omnivore"
21,"sosp",4,"ground","omnivore"
22,"amro",3,"ground","omnivore"
22,"grca",6,"ground","omnivore"
22,"howr",2,"ground","insectivore"
23,"amcr",1,"ground","omnivore"
23,"amro",1,"ground","omnivore"
